#At time x allocated y bytes for process z from i to j
At time 0 allocated 250 bytes for process 1 from 0 to 255
At time 0 allocated 250 bytes for process 2 from 256 to 511
At time 0 allocated 250 bytes for process 3 from 512 to 767
At time 0 allocated 250 bytes for process 4 from 768 to 1023
At time 5 freed 250 bytes from process 1 from 0 to 255
At time 6 allocated 250 bytes for process 5 from 0 to 255
At time 11 freed 250 bytes from process 2 from 256 to 511
At time 12 allocated 250 bytes for process 6 from 256 to 511
At time 17 freed 250 bytes from process 3 from 512 to 767
At time 18 allocated 250 bytes for process 1 from 512 to 767
At time 23 freed 250 bytes from process 4 from 768 to 1023
At time 24 allocated 250 bytes for process 2 from 768 to 1023
At time 29 freed 250 bytes from process 5 from 0 to 255
At time 30 allocated 250 bytes for process 3 from 0 to 255
At time 35 freed 250 bytes from process 6 from 256 to 511
At time 36 allocated 250 bytes for process 4 from 256 to 511
At time 41 freed 250 bytes from process 1 from 512 to 767
At time 42 allocated 250 bytes for process 5 from 512 to 767
At time 47 freed 250 bytes from process 2 from 768 to 1023
At time 48 allocated 250 bytes for process 6 from 768 to 1023
At time 53 freed 250 bytes from process 3 from 0 to 255
At time 59 freed 250 bytes from process 4 from 256 to 511
At time 65 freed 250 bytes from process 5 from 512 to 767
At time 71 freed 250 bytes from process 6 from 768 to 1023
